Series_reference,Period,Data_value,STATUS,UNITS,MAGNTUDE,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
GFSA.SLS02G05Z623025,2012.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Special drawing rights (SDRs),,,
GFSA.SLS02G05Z623025,2013.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Special drawing rights (SDRs),,,
GFSA.SLS02G05Z623025,2014.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Special drawing rights (SDRs),,,
GFSA.SLS02G05Z623025,2015.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Special drawing rights (SDRs),,,
GFSA.SLS02G05Z623025,2016.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Special drawing rights (SDRs),,,
GFSA.SLS02G05Z623025,2017.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Special drawing rights (SDRs),,,
GFSA.SLS02G05Z623025,2018.06,0,PROVISIONAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Special drawing rights (SDRs),,,
GFSA.SLS02G05Z629999,2009.06,9683,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Total,,,
GFSA.SLS02G05Z629999,2010.06,10554,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Total,,,
GFSA.SLS02G05Z629999,2011.06,14473,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Total,,,
GFSA.SLS02G05Z629999,2012.06,15199,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Total,,,
GFSA.SLS02G05Z629999,2013.06,15837,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Total,,,
GFSA.SLS02G05Z629999,2014.06,16141,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Total,,,
GFSA.SLS02G05Z629999,2015.06,17152,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Total,,,
GFSA.SLS02G05Z629999,2016.06,18343,REVISED,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Total,,,
GFSA.SLS02G05Z629999,2017.06,19075,REVISED,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Total,,,
GFSA.SLS02G05Z629999,2018.06,19824,PROVISIONAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Total,,,
GFSA.SLS02G06Z616111,2009.06,62266,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Fixed Assets",Non-financial assets,Fixed assets,Buildings and structures,,
GFSA.SLS02G06Z616111,2010.06,64726,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Fixed Assets",Non-financial assets,Fixed assets,Buildings and structures,,
