Series_reference,Period,Data_value,STATUS,UNITS,MAGNTUDE,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
GFSA.SGS01G02142,2018.06,7466,PROVISIONAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Sales of goods and services,,,,
GFSA.SGS01G02143,2009.06,1035,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Dividend income,,,,
GFSA.SGS01G02143,2010.06,2260,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Dividend income,,,,
GFSA.SGS01G02143,2011.06,1866,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Dividend income,,,,
GFSA.SGS01G02143,2012.06,1451,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Dividend income,,,,
GFSA.SGS01G02143,2013.06,1737,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Dividend income,,,,
GFSA.SGS01G02143,2014.06,2051,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Dividend income,,,,
GFSA.SGS01G02143,2015.06,1918,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Dividend income,,,,
GFSA.SGS01G02143,2016.06,2516,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Dividend income,,,,
GFSA.SGS01G02143,2017.06,2491,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Dividend income,,,,
GFSA.SGS01G02143,2018.06,2387,PROVISIONAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Dividend income,,,,
GFSA.SGS01G02144,2009.06,2256,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Interest income,,,,
GFSA.SGS01G02144,2010.06,1876,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Interest income,,,,
GFSA.SGS01G02144,2011.06,2203,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Interest income,,,,
GFSA.SGS01G02144,2012.06,2256,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Interest income,,,,
GFSA.SGS01G02144,2013.06,2260,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Interest income,,,,
GFSA.SGS01G02144,2014.06,2617,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Interest income,,,,
GFSA.SGS01G02144,2015.06,2756,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Interest income,,,,
GFSA.SGS01G02144,2016.06,2578,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Interest income,,,,
GFSA.SGS01G02144,2017.06,2498,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Interest income,,,,
